Database name	Scientific domain	Organism(s)	Assay type(s)	Organisation(s)	Notes
[ReMap](https://remap.univ-amu.fr)	Epigenetics	H. sapiens, M. musculus, D. melanogaster, A. thaliana	transcription factor binding	Aix Marseille Université, Institut National de la Santé Et de la Recherche Médicale	""
[GTRD](http://gtrd.biouml.org)	Epigenetics	A. thaliana, C. elegans, D. rerio, D. melanogaster, G. gallus, H. sapiens, M. musculus, R. novergicus, S. cerevisiae, S. pombe	transcription factor binding / chromatin accessibility / RNA initiation	BioUML	""
[Expression Atlas](https://www.ebi.ac.uk/gxa/)	Genetics	Multiple	RNA profile expression	European Bioinformatics Institute	Reprocess data from COVID-19 Data portal, ENCODE, BLUEPRINT, FANTOM, the Human Atlas Project, Cancer Cell Line Encyclopedia, HipSci, GTEx, PCAWG, Genomics of Drug Sensitivity in Cancer Project, HDBR, Gramene
[FlyBase](http://flybase.org)	Genetics / Epigenetics	Multiple Drosophile	DNA sequence / DNA sequence variation / mRNA profile expression / ncRNA profile expression / 3D chromatin structure / protein sequence	FlyBase consortium 	Data in RNA central, part of [Alliance of Genome Resource](https://www.alliancegenome.org)
[Mouse Genome Informatics (MGI)](http://www.informatics.jax.org )	Genetics / Epigenetics	Multiple Mouse	DNA sequence / RNA expression profile	MGI project	Data in RNA central, part of [Alliance of Genome Resource](https://www.alliancegenome.org)
[Rat Genome Database (RGD)](https://rgd.mcw.edu)	Genetics / Epigenetics	Multiple (Rat, Mouse, Human, Chinchilla, Bonobo, Dog, Squirrel, Pig)	DNA sequence / RNA expression profile	RGD group (NIH)	Data in RNA central, part of [Alliance of Genome Resource](https://www.alliancegenome.org)
[WormBase](https://wormbase.org)	Genetics / Epigenetics	C. elegans and related nematodes	DNA sequence / RNA expression profile	WormBase consortium	Data in RNA central, part of [Alliance of Genome Resource](https://www.alliancegenome.org)
[ZFIN](http://zfin.org )	Genetics / Epigenetics	D. rerio	DNA sequence / RNA expression profile	Zebrafish Information Network group	Data in RNA central, part of [Alliance of Genome Resource](https://www.alliancegenome.org)
[Saccharomyces Genome Database (SGD)](https://yeastgenome.org)	Genetics / Epigenetics	S. cerevisiae	DNA sequence / RNA expression profile	SGD group	Data in RNA central, part of [Alliance of Genome Resource](https://www.alliancegenome.org)
[Xenbase](http://www.xenbase.org/)	Genetics / Epigenetics	Multiple Xenope	DNA sequence / RNA expression profile / protein sequence	Xenbase group
[The Arabidopsis Information Resource (TAIR)](https://www.arabidopsis.org )	Genetics	A. thaliana	DNA sequence / RNA expression profile	TAIR group	Data in RNA central
